"transaksi_id","jenis","nomer","fulldate","supplier_id","supplier_nama","debet_rek","locker_awal","locker_nilai_active","locker_nilai_diklaim","selisih_debet_vs_locker_awal","status_rekonsiliasi","reg_create_at","locker_last_dtime"
"611713","3344","3344.-1.107","2025-11-05","4","PT.PANASONIC GOBEL INDONESIA","361471500.000000","0.000000","0.000000","0.000000","361471500.000000","LOCKER_ZERO","2026-02-02 23:03:36","2025-11-15 10:24:28"
"552047","999","999.-1.63","2025-08-28","4","","317354905.000000","0.000000","0.000000","0.000000","317354905.000000","LOCKER_ZERO","2026-02-02 23:03:36",
"493520","467","467.-1.2729","2025-06-25","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:29:17"
"494063","467","467.-1.2739","2025-06-25","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:43:48"
"494735","467","467.-1.2744","2025-06-26","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:44:55"
"496545","467","467.-1.2747","2025-06-28","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:45:40"
"505959","467","467.-1.2803","2025-07-07","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:56:35"
"506207","467","467.-1.2804","2025-07-08","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","3505411.764580","0.000000","3505411.764580","54738352.939212","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:57:30"
"490327","467","467.-1.2714","2025-06-21","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:28:36"
"500900","467","467.-1.2772","2025-07-02","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:51:20"
"502335","467","467.-1.2782","2025-07-04","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:52:21"
"507297","467","467.-1.2810","2025-07-09","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:58:35"
"508794","467","467.-1.2819","2025-07-10","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:07:33"
"509654","467","467.-1.2825","2025-07-11","4","PT.PANASONIC GOBEL INDONESIA","58243764.703792","6201882.352719","0.000000","6201882.352719","52041882.351073","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:09:49"
"515361","467","467.-1.2857","2025-07-18","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","0.000000","0.000000","0.000000","30582866.396999","LOCKER_ZERO","2026-02-02 23:03:36","2025-08-18 20:32:50"
"512220","467","467.-1.2838","2025-07-14","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","3629836.707388","0.000000","3629836.707388","26953029.689610","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:29:29"
"510486","467","467.-1.2833","2025-07-12","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","3968007.305902","0.000000","3968007.305902","26614859.091097","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:13:07"
"512748","467","467.-1.2840","2025-07-15","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","3968007.305902","0.000000","3968007.305902","26614859.091097","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:30:39"
"510482","467","467.-1.2832","2025-07-12","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","4537295.884236","0.000000","4537295.884236","26045570.512763","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:11:19"
"488326","467","467.-1.2689","2025-06-19","4","PT.PANASONIC GOBEL INDONESIA","29121882.351896","3505411.764580","0.000000","3505411.764580","25616470.587316","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:19:44"
"490325","467","467.-1.2713","2025-06-21","4","PT.PANASONIC GOBEL INDONESIA","29121882.351896","3505411.764580","0.000000","3505411.764580","25616470.587316","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:24:13"
"573520","967","967.-1.12","2025-09-25","4","PT.PANASONIC GOBEL INDONESIA","23653594.950000","0.000000","0.000000","0.000000","23653594.950000","LOCKER_ZERO","2026-02-02 23:03:36",
"487083","467","467.-1.2678","2025-06-18","4","PT.PANASONIC GOBEL INDONESIA","27275294.116594","3896470.588085","0.000000","3896470.588085","23378823.528509","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:03:30"
"489138","467","467.-1.2704","2025-06-20","4","PT.PANASONIC GOBEL INDONESIA","27275294.116594","3896470.588085","0.000000","3896470.588085","23378823.528509","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:21:37"
"510488","467","467.-1.2834","2025-07-12","4","PT.PANASONIC GOBEL INDONESIA","30582866.396999","9443295.126242","0.000000","9443295.126242","21139571.270757","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:28:50"
"198192","467","467.-1.1238","2024-09-12","4","PT.PANASONIC GOBEL INDONESIA","18000000.000000","0.000000","0.000000","0.000000","18000000.000000","LOCKER_ZERO","2026-02-02 23:03:36","2025-04-17 10:29:07"
"524333","467","467.-1.2909","2025-07-28","4","PT.PANASONIC GOBEL INDONESIA","15951292.000000","1614564.000000","0.000000","1614564.000000","14336728.000000","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:49:03"
"524519","467","467.-1.2911","2025-07-28","4","PT.PANASONIC GOBEL INDONESIA","15951292.000000","2767824.000000","0.000000","2767824.000000","13183468.000000","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 11:50:21"
"496547","467","467.-1.2748","2025-06-28","4","PT.PANASONIC GOBEL INDONESIA","15079058.823353","3896470.588085","0.000000","3896470.588085","11182588.235268","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:46:21"
"498714","467","467.-1.2760","2025-06-30","4","PT.PANASONIC GOBEL INDONESIA","15079058.823353","4870588.235106","0.000000","4870588.235106","10208470.588247","LOCKER_UNDER","2026-02-02 23:03:36","2025-08-20 10:50:24"
